id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,country,currency
918746027504062529,Sunset Views Villa with Delightful Furniture,2770598,Moriya,nan,Μυκόνου (Μykonos),37.46489,25.33257,Entire home/apt,20813.0,3,0,nan,nan,63,197,0,1173E60000086801,"Stockholm, Stockholms lÃ¤n, Sweden",unknown
1080760950839399378,jodd fairs/central rama9 /mrt,545809724,Zhongliang,nan,Huai Khwang,13.75792,100.56713,Entire home/apt,2000.0,7,0,nan,nan,32,270,0,nan,"Bangkok, Central Thailand, Thailand",unknown
23415444,Casco histórico con terraza de acceso directo.,174613612,Nicolas,Vizcaya,Bilbao,43.25871,-2.92279,Private room,160.0,3,20,2024-03-24,0.25,1,270,4,LBI246,"Euskadi, Euskadi, Spain",unknown
49200638,Spacious Room in Central San Diego,36662258,Itzel,nan,City Heights West,32.75442,-117.11443,Private room,90.0,2,35,2024-09-08,0.84,3,153,13,"STR-04614L, 637454","San Diego, California, United States",unknown
715768576690641758,House Vulcano garden,432562592,"Loic, Estelle And Co",nan,Lipari,38.41719709334331,14.958494675531448,Entire home/apt,159.0,1,0,nan,nan,1,365,0,nan,"Sicily, Sicilia, Italy",unknown
1164187669209379629,Elegant Emerald 3-Bed Apt @ Albert Park w/ Parking,521362396,Live Luxe,nan,Port Phillip,-37.83931365158735,144.97648172343597,Entire home/apt,195.0,2,12,2024-09-02,3.75,10,197,12,nan,"Melbourne, Victoria, Australia",unknown
24916216,Beautiful old building room Reuter-Kiez / Neukölln,188372797,Sabine,Neukölln,Reuterstraße,52.48987,13.42903,Private room,nan,2,36,2022-07-18,0.52,1,0,0,08/Z/AZ/006406-18,"Berlin, Berlin, Germany",unknown
899296976223154209,Unique hill country cabin,117647834,Maria,nan,78737,30.188372,-97.9600558,Entire home/apt,103.0,2,5,2024-07-14,0.32,1,166,3,nan,"Austin, Texas, United States",unknown
897733934616955069,port canigo ii 101 - very bright apartment with co,113356954,Company,nan,Roses,42.27037,3.14255,Entire home/apt,nan,1,0,nan,nan,153,0,0,HUTG-035995,"Girona, Catalonia, Spain",unknown
39148386,Into The Burren -  Studio Loft for up to 6 guests,193410173,Kathleen,Clare County Council,Ennistimon LEA-4,53.1333,-9.28335,Entire home/apt,224.0,2,15,2022-07-17,0.25,5,216,0,nan,Ireland,unknown
683974374057614557,"Le 163, grand 5-1/2, situé près de tout!",43218123,Jayson,nan,Quartier 4-6,46.84426,-71.24901,Entire home/apt,121.0,1,59,2024-10-30,2.16,1,334,22,"310576, expires: 2025-06-30","Quebec City, Quebec, Canada",unknown
980214856069814699,Superb new apartment Sacre Coeur Montmartre,28313443,Michael & Johanna,nan,Buttes-Montmartre,48.884772,2.3460253,Entire home/apt,272.0,1,8,2024-09-11,0.68,122,323,8,7511810186470,"Pays Basque, PyrÃ©nÃ©es-Atlantiques, France",unknown
759230767767830325,Unique Beauty salon for private rental,181108039,Tomika,Brooklyn,Brownsville,40.67033,-73.91569,Entire home/apt,nan,30,0,nan,nan,3,365,0,nan,"New York City, New York, United States",unknown
1172887388025111044,"Two Bedroom Suite, 70sqm - Thonglor",539932734,Elite Stay Agency,nan,Vadhana,13.735172792137744,100.57814363778134,Entire home/apt,5400.0,1,0,nan,nan,22,365,0,nan,"Bangkok, Central Thailand, Thailand",unknown
49918773,A 300m de la PLAYA & Parking  by  ALOHA Bilbao,16126315,Xabi&Almu,Vizcaya,Gorliz,43.41503,-2.93802,Entire home/apt,148.0,2,38,2024-08-29,1.07,24,89,11,EBI-910,"Euskadi, Euskadi, Spain",unknown
53758529,Your own cozy Bushwick Brooklyn apartment.,347673646,Matthew,Brooklyn,Bushwick,40.69925,-73.91697,Entire home/apt,nan,30,4,2022-11-02,0.12,1,0,0,nan,"New York City, New York, United States",unknown
968828698142304293,A designer pied a terre,424605,Greg,nan,Bourse,48.8667133150123,2.3517756619884573,Entire home/apt,150.0,5,2,2024-04-08,0.18,1,355,2,7510209711117,"Pays Basque, PyrÃ©nÃ©es-Atlantiques, France",unknown
18442713,Cottage mit  5 Sterne Ausblick,65104368,Konni,nan,Ward 77,-33.92794,18.40265,Entire home/apt,1140.0,3,61,2024-04-19,0.72,1,187,9,nan,"Cape Town, Western Cape, South Africa",unknown
10305681,2 bedroom and one saloon near SAW,53019790,Hasan,nan,Pendik,40.88102,29.27336,Private room,410.0,100,63,2022-10-31,0.6,3,271,0,nan,"Istanbul, Marmara, Turkey",unknown
23597997,Campeche Shore,4075316,Sebastián,nan,Cuauhtémoc,19.41122,-99.16146,Private room,580.0,1,0,nan,nan,3,16,0,nan,"Mexico City, Distrito Federal, Mexico",unknown
844613357610405447,Cozy apartment in Riposto with kitchen,153920869,Novasol,nan,Riposto,37.7261731,15.2097197,Entire home/apt,nan,1,0,nan,nan,54,103,0,nan,"Sicily, Sicilia, Italy",unknown
715556761074053483,Comfortable welcome this weekend in London,44260937,Katrina,nan,Hammersmith and Fulham,51.508539205747375,-0.2349665388464927,Private room,nan,1,26,2024-03-17,1.08,1,0,5,nan,"London, England, United Kingdom",unknown
50208590,Family Superior Plaza Cataluña,405115394,Hotel Ginebra,Eixample,la Dreta de l'Eixample,41.38662,2.16705,Private room,320.0,1,1,2021-10-12,0.03,7,164,0,HB-002395,"Barcelona, Catalonia, Spain",unknown
1226667826770132246,Masseria Mazzetta,499823060,Orfeo,Lecce,Salice Salentino,40.38545,17.84677,Private room,140.0,1,0,nan,nan,3,365,0,nan,"Puglia, Puglia, Italy",unknown
1166818266739560240,Flat 1 - Luxury Bolton City Centre Apartments,480347864,Okechukwu Edward,Bolton,Bolton District,53.57861,-2.4261,Entire home/apt,143.0,1,0,nan,nan,3,97,0,nan,"Greater Manchester, England, United Kingdom",unknown
765749274374761864,Mid century styled garden apartment,14829735,Johann,nan,Randwick,-33.9231504,151.2300299,Entire home/apt,300.0,3,2,2023-07-10,0.12,1,8,0,PID-STRA-45577,"Sydney, New South Wales, Australia",unknown
2870824,beautiful 1 bedroom-4B,51827,Jan,nan,大安區,25.02982,121.53054,Entire home/apt,3360.0,3,100,2024-09-13,0.8,13,162,24,nan,"Taipei, Northern Taiwan, Taiwan",unknown
3247323,Big apartment w. balcony & elevator to the yard,6523669,Dea,nan,sterbro,55.69684,12.58036,Entire home/apt,nan,6,25,2024-08-04,0.22,1,0,3,nan,"Copenhagen, Hovedstaden, Denmark",unknown
649706776784854406,Casa de Papel,464356425,Hugo,Retiro,Pacífico,40.4037,-3.67878,Entire home/apt,449.0,2,145,2024-09-06,5.43,2,166,65,nan,"Malaga, AndalucÃ­a, Spain",unknown
11487717,CascaisCenter | HistoricTown&Beach,54264847,John,Cascais,Cascais e Estoril,38.69894,-9.42301,Entire home/apt,115.0,3,206,2024-09-01,2.03,1,219,26,84309/AL.,"Lisbon, Lisbon, Portugal",unknown
1093682671415170303,Stylish 4 Bed House - Sleeps 9 - Salford - Parking,562575116,Maevela Manchester,Salford,Salford District,53.49525,-2.25831,Entire home/apt,233.0,1,21,2024-09-09,3.0,2,256,21,nan,"Greater Manchester, England, United Kingdom",unknown
590081675383521427,"Big Heated Pool - 10 Min to Strip, Heart of Vegas",178300668,Justin,nan,Unincorporated Areas,36.12434,-115.22885,Entire home/apt,385.0,3,82,2024-09-02,2.72,2,60,26,nan,"Clark County, NV, Nevada, United States",unknown
943038705820155262,Whole house available with seaview and parking,527748117,Ruth,Far North District,Te Hiku Ward,-34.99422,173.50244,Entire home/apt,280.0,2,3,2024-01-06,0.26,1,29,3,nan,New Zealand,unknown
53552823,Central Location: Chic 2-Br Apt with free Parking,5215877,Milan,nan,Hornsby,-33.77807,151.05547,Entire home/apt,163.0,3,44,2024-08-04,1.46,57,255,18,PID-STRA-28564,"Sydney, New South Wales, Australia",unknown
993620099937787288,Brand New Suite w/laundry/kitchenett! 24/7Parking!,342060071,Alicia,Queens,Flushing,40.74547616946749,-73.8251481131149,Entire home/apt,99.0,30,1,2023-11-29,0.09,10,365,1,nan,"New York City, New York, United States",unknown
29364889,"Petroula's Place, Perfectly Located",221221562,Maria,nan,ΓΟΥΔΙ,37.98315,23.76164,Entire home/apt,55.0,2,76,2024-08-03,1.08,1,356,9,00000540206,"Athens, Attica, Greece",unknown
967825478344028150,Luxury Retreat at Bree,447507612,Jonathan,nan,Ward 115,-33.9176714,18.4215188,Entire home/apt,1730.0,2,6,2024-06-07,0.51,59,360,6,nan,"Cape Town, Western Cape, South Africa",unknown
1079695044377455820,Ap. 50 metros da praia de Copacabana (posto 2),133509493,Marimar,nan,Copacabana,-22.964525,-43.1740708,Entire home/apt,184.0,3,13,2024-09-24,1.71,2,103,13,nan,"Rio de Janeiro, Rio de Janeiro, Brazil",unknown
18099944,1 Bedroom very close to BTS Onnut,124672056,Geeda,nan,Phra Khanong,13.70154,100.60787,Private room,nan,1,0,nan,nan,1,0,0,nan,"Bangkok, Central Thailand, Thailand",unknown
31732275,1-Bed Apartment - 5 minutes to Sloane Square - NGH,48165024,Property By Capital,nan,Kensington and Chelsea,51.49089,-0.16629,Hotel room,292.0,2,12,2019-10-29,0.18,200,174,0,nan,"London, England, United Kingdom",unknown
704247608833299996,"2 bedroom apartment w/kitchen,10 min to central S",14215619,Jeanette Myhre,nan,Gamle Oslo,59.90957,10.76636,Entire home/apt,1850.0,2,10,2024-07-01,0.4,1,131,4,nan,"Oslo, Oslo, Norway",unknown
1226712287169624250,Snowbell,526140772,Mandy,nan,Samphanthawong,13.736151,100.5135894,Private room,nan,1,0,nan,nan,1,365,0,nan,"Bangkok, Central Thailand, Thailand",unknown
755125443237216380,Urban Garden Oasis 1Bdrm MIL 30 Day+ Stays,591362,Ginevra,Delridge,South Delridge,47.5208306,-122.3634946,Entire home/apt,16.0,30,3,2023-11-07,0.18,1,77,1,nan,"Sevilla, AndalucÃ­a, Spain",unknown
967662695214441441,Enchanted 1BR Kona City Retreat,29477749,Deborah,Hawaii,North Kona,19.618962147236,-155.9848725447052,Entire home/apt,189.0,2,11,2024-08-13,0.95,3,335,11,nan,"Hawaii, Hawaii, United States",unknown
1099339127624226414,Appartement 34m Paris 10,379238629,Victor,nan,Entrepôt,48.8750972,2.3526588,Entire home/apt,400.0,4,0,nan,nan,1,201,0,7511011970205,"Pays Basque, PyrÃ©nÃ©es-Atlantiques, France",unknown
6777120,Petit cocon pour les vacances,32508664,Anaïs,Bordeaux,Centre ville (Bordeaux),44.8401,-0.58623,Entire home/apt,nan,365,8,2015-09-28,0.07,1,0,0,nan,"Bordeaux, Nouvelle-Aquitaine, France",unknown
17190456,Wapping London,22312072,Ana,nan,Tower Hamlets,51.50862,-0.05449,Private room,nan,7,0,nan,nan,1,0,0,nan,"London, England, United Kingdom",unknown
1064136309988006217,Central Laneway Oasis,555190807,Julian,nan,Melbourne,-37.8158732,144.9700103,Entire home/apt,900.0,1,5,2024-08-25,2.38,1,197,5,nan,"Melbourne, Victoria, Australia",unknown
1166636601921019286,Comfy 1 bedroom close strip/airp,10258948,Marcy,nan,Unincorporated Areas,36.10369,-115.11626,Entire home/apt,nan,3,0,nan,nan,6,55,0,nan,"Clark County, NV, Nevada, United States",unknown
1111726443368064278,Studio apartment with gym access BM1,500861010,Jihye,nan,Feldmoching-Hasenbergl,48.19365,11.56392,Entire home/apt,79.0,7,8,2024-09-12,2.03,6,236,8,nan,"Munich, Bavaria, Germany",unknown
1129312282263390185,A room in Montreal DT 304,566332137,Chengfei,nan,Ville-Marie,45.49179063233489,-73.58309852228139,Private room,75.0,1,18,2024-08-31,4.06,5,61,18,"315033, expires: 2025-08-23","Montreal, Quebec, Canada",unknown
2135479,Warm 2 rooms flat + Mezzanine. Paris 17,10897466,David,nan,Batignolles-Monceau,48.89656,2.31778,Entire home/apt,nan,4,59,2024-08-10,0.82,1,1,4,7511704842589,"Pays Basque, PyrÃ©nÃ©es-Atlantiques, France",unknown
939511865734708189,Sea Spirit I Private Properties,117379039,PrivateProperties,nan,BUSSELTON,-33.5447344,115.0321554,Entire home/apt,939.0,3,0,nan,nan,87,239,0,nan,"Western Australia, Western Australia, Australia",unknown
1026125592105934455,La Casetta Di Bambú (Argonne M4),118626644,Paolo Andrea,nan,CORSICA,45.46366949999999,9.2291386,Entire home/apt,61.0,1,53,2024-09-15,5.37,15,144,53,nan,"Milan, Lombardy, Italy",unknown
23357486,Montmartre. Lovely & sunny studio - BAIL MOBILITE,5343215,Christine,nan,Buttes-Montmartre,48.88808,2.34843,Entire home/apt,52.0,30,30,2024-07-10,0.38,1,168,5,7511801518729,"Pays Basque, PyrÃ©nÃ©es-Atlantiques, France",unknown
4353029,Piazza Venceslao in 5 Minuti!,14366220,Valentina,nan,Praha 2,50.07538,14.43351,Entire home/apt,2277.0,3,120,2024-05-19,1.01,4,276,7,nan,"Prague, Prague, Czech Republic",unknown
18301579,Lovely 2BR flat near Brixton,64886833,Jenny,nan,Lambeth,51.46648,-0.09817,Entire home/apt,nan,3,9,2017-09-08,0.1,1,0,0,nan,"London, England, United Kingdom",unknown
736653348294695838,Deluxe Garden King Room in Hotel - London,268087023,Avi,nan,Barnet,51.5766827,-0.2050862,Private room,86.0,1,8,2024-08-22,0.51,8,82,7,nan,"London, England, United Kingdom",unknown
1126545080277384112,New 4-Bed 2-Bath Apartment Near Duomo and San Siro,570335593,Emanuel,nan,BANDE NERE,45.46222473022586,9.133615046739578,Entire home/apt,280.0,1,19,2024-08-07,3.83,1,21,19,IT015146C2RRKIH5YF,"Milan, Lombardy, Italy",unknown
802091837127384143,Marmaray ve E5 e sıfır,176604537,Eray,nan,Tuzla,40.85336484513853,29.29449375718832,Private room,nan,100,0,nan,nan,1,88,0,nan,"Istanbul, Marmara, Turkey",unknown
8865068,Luxury on the Beach,44791321,Lisa,Wexford County Council,Rosslare LEA-5,52.27433,-6.38618,Entire home/apt,200.0,2,62,2024-08-17,0.57,1,278,7,nan,Ireland,unknown
1208612673503732358,Central Mezzanine Apartment in Historic School,535938561,Cheng,nan,"Canongate, Southside and Dumbiedykes",55.94613092951863,-3.1837160802413487,Entire home/apt,148.0,2,0,nan,nan,1,125,0,nan,"Edinburgh, Scotland, United Kingdom",unknown
31828791,2-Bedroom Apartment with Garden View,158082945,Stefanos,nan,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),37.10492,25.39047,Entire home/apt,116.0,1,17,2024-09-10,0.27,34,270,2,1169187,"Stockholm, Stockholms lÃ¤n, Sweden",unknown
52974783,Cosy and Spacious 3-Bedroom Villa in St Marys,428889700,Shobha,nan,Penrith,-33.76991,150.78763,Entire home/apt,165.0,3,35,2024-08-25,1.15,1,144,6,PID-STRA-24849,"Sydney, New South Wales, Australia",unknown
8815851,Master Suite w/ Private Bathroom &Entrance,2147340,Lydia,nan,Redwood City,37.47509,-122.22933,Private room,175.0,3,4,2016-09-24,0.04,2,365,0,nan,"San Mateo County, California, United States",unknown
49846031,Lovely 3 room apartment in the heart of Munich,57436134,Çiğdem,nan,Ludwigsvorstadt-Isarvorstadt,48.13155,11.56623,Entire home/apt,nan,7,16,2024-07-09,0.44,1,0,4,nan,"Munich, Bavaria, Germany",unknown
